方法,检零件1,检零件2,检成品,处理方式,期望成本,期望利润,市场次品率,利润标准差,情境,归一化_利润,归一化_稳定性,归一化_声誉,得分_激进增长型,得分_稳健品牌型
M02,不检,不检,不检,退货报废,60.406,-4.406,0.488,2.999,2,0.064,0.000,0.000,0.038,0.019
M04,不检,不检,检,厂内报废,60.547,-4.547,0.000,0.000,2,0.054,1.000,1.000,0.433,0.716
M08,不检,检,检,厂内报废,61.328,-5.328,0.000,0.000,2,0.000,1.000,1.000,0.400,0.700
M03,不检,不检,检,厂内拆解,39.222,16.778,0.000,0.000,3,1.000,1.000,1.000,1.000,1.000
M11,检,不检,检,厂内拆解,39.798,16.202,0.000,0.000,3,0.944,1.000,1.000,0.967,0.983
M07,不检,检,检,厂内拆解,41.362,14.638,0.000,0.000,3,0.793,1.000,1.000,0.876,0.938
M13,检,检,不检,退货拆解,41.444,14.556,0.100,9.000,3,0.785,0.325,0.631,0.662,0.585
M15,检,检,检,厂内拆解,41.444,14.556,0.000,0.000,3,0.785,1.000,1.000,0.871,0.936
M12,检,不检,检,厂内报废,41.564,14.436,0.000,0.000,3,0.774,1.000,1.000,0.864,0.932
M04,不检,不检,检,厂内报废,42.524,13.476,0.000,0.000,3,0.681,1.000,1.000,0.808,0.904
M09,检,不检,不检,退货拆解,43.132,12.868,0.190,11.769,3,0.622,0.117,0.299,0.456,0.341
M14,检,检,不检,退货报废,43.333,12.667,0.100,9.000,3,0.602,0.325,0.631,0.553,0.531
M16,检,检,检,厂内报废,43.333,12.667,0.000,0.000,3,0.602,1.000,1.000,0.761,0.881
M05,不检,检,不检,退货拆解,44.695,11.305,0.190,11.769,3,0.471,0.117,0.299,0.366,0.296
M08,不检,检,检,厂内报废,44.856,11.144,0.000,0.000,3,0.455,1.000,1.000,0.673,0.837
M10,检,不检,不检,退货报废,44.897,11.103,0.190,11.769,3,0.451,0.117,0.299,0.354,0.290
M01,不检,不检,不检,退货拆解,46.259,9.741,0.271,13.334,3,0.319,0.000,0.000,0.192,0.096
M06,不检,检,不检,退货报废,48.189,7.811,0.190,11.769,3,0.133,0.117,0.299,0.163,0.195
M02,不检,不检,不检,退货报废,49.561,6.439,0.271,13.334,3,0.000,0.000,0.000,0.000,0.000
M15,检,检,检,厂内拆解,43.250,12.750,0.000,0.000,4,1.000,1.000,1.000,1.000,1.000
M11,检,不检,检,厂内拆解,46.453,9.547,0.000,0.000,4,0.920,1.000,1.000,0.952,0.976
M16,检,检,检,厂内报废,47.500,8.500,0.000,0.000,4,0.894,1.000,1.000,0.936,0.968
M07,不检,检,检,厂内拆解,47.547,8.453,0.000,0.000,4,0.893,1.000,1.000,0.936,0.968
M13,检,检,不检,退货拆解,48.250,7.750,0.200,12.000,4,0.875,0.200,0.590,0.683,0.559
M12,检,不检,检,厂内报废,50.391,5.609,0.000,0.000,4,0.822,1.000,1.000,0.893,0.946
M03,不检,不检,检,厂内拆解,50.984,5.016,0.000,0.000,4,0.807,1.000,1.000,0.884,0.942
M14,检,检,不检,退货报废,52.500,3.500,0.200,12.000,4,0.769,0.200,0.590,0.619,0.527
M08,不检,检,检,厂内报废,55.859,0.141,0.000,0.000,4,0.685,1.000,1.000,0.811,0.906
M04,不检,不检,检,厂内报废,58.594,-2.594,0.000,0.000,4,0.617,1.000,1.000,0.770,0.885
M09,检,不检,不检,退货拆解,60.203,-4.203,0.360,14.400,4,0.577,0.040,0.262,0.406,0.290
M05,不检,检,不检,退货拆解,61.297,-5.297,0.360,14.400,4,0.549,0.040,0.262,0.390,0.282
M10,检,不检,不检,退货报废,64.141,-8.141,0.360,14.400,4,0.478,0.040,0.262,0.347,0.260
M06,不检,检,不检,退货报废,69.609,-13.609,0.360,14.400,4,0.342,0.040,0.262,0.265,0.219
M01,不检,不检,不检,退货拆解,75.672,-19.672,0.488,14.996,4,0.190,0.000,0.000,0.114,0.057
M02,不检,不检,不检,退货报废,83.281,-27.281,0.488,14.996,4,0.000,0.000,0.000,0.000,0.000
M05,不检,检,不检,退货拆解,40.519,15.481,0.190,3.923,5,1.000,0.179,0.460,0.728,0.538
M07,不检,检,检,厂内拆解,40.642,15.358,0.000,0.000,5,0.992,1.000,1.000,0.995,0.998
M03,不检,不检,检,厂内拆解,43.235,12.765,0.000,0.000,5,0.822,1.000,1.000,0.893,0.946
M06,不检,检,不检,退货报废,44.012,11.988,0.190,3.923,5,0.770,0.179,0.460,0.590,0.469
M08,不检,检,检,厂内报废,44.136,11.864,0.000,0.000,5,0.762,1.000,1.000,0.857,0.929
M01,不检,不检,不检,退货拆解,45.580,10.420,0.352,4.776,5,0.667,0.000,0.000,0.400,0.200
M04,不检,不检,检,厂内报废,46.296,9.704,0.000,0.000,5,0.620,1.000,1.000,0.772,0.886
M13,检,检,不检,退货拆解,47.093,8.907,0.100,3.000,5,0.568,0.372,0.716,0.558,0.568
M15,检,检,检,厂内拆解,48.204,7.796,0.000,0.000,5,0.495,1.000,1.000,0.697,0.849
M02,不检,不检,不检,退货报废,48.642,7.358,0.352,4.776,5,0.466,0.000,0.000,0.280,0.140
M14,检,检,不检,退货报废,48.981,7.019,0.100,3.000,5,0.444,0.372,0.716,0.484,0.531
M16,检,检,检,厂内报废,50.093,5.907,0.000,0.000,5,0.371,1.000,1.000,0.623,0.811
M11,检,不检,检,厂内拆解,53.019,2.981,0.000,0.000,5,0.179,1.000,1.000,0.507,0.754
M09,检,不检,不检,退货拆解,54.130,1.870,0.280,4.490,5,0.106,0.060,0.205,0.116,0.132
M12,检,不检,检,厂内报废,54.630,1.370,0.000,0.000,5,0.073,1.000,1.000,0.444,0.722
M10,检,不检,不检,退货报废,55.741,0.259,0.280,4.490,5,0.000,0.060,0.205,0.053,0.100
M02,不检,不检,不检,退货报废,34.321,21.679,0.143,3.497,6,1.000,0.000,0.000,0.600,0.300
M10,检,不检,不检,退货报废,34.671,21.329,0.098,2.966,6,0.948,0.152,0.316,0.662,0.457
M04,不检,不检,检,厂内报废,36.157,19.843,0.000,0.000,6,0.728,1.000,1.000,0.837,0.918
M06,不检,检,不检,退货报废,36.654,19.346,0.098,2.966,6,0.654,0.152,0.316,0.486,0.368
M14,检,检,不检,退货报废,36.759,19.241,0.050,2.179,6,0.638,0.377,0.649,0.588,0.564
M12,检,不检,检,厂内报废,36.915,19.085,0.000,0.000,6,0.615,1.000,1.000,0.769,0.885
M09,检,不检,不检,退货拆解,37.613,18.387,0.098,2.966,6,0.512,0.152,0.316,0.401,0.326
M13,检,检,不检,退货拆解,37.706,18.294,0.050,2.179,6,0.498,0.377,0.649,0.504,0.522
M01,不检,不检,不检,退货拆解,38.599,17.401,0.143,3.497,6,0.366,0.000,0.000,0.219,0.110
M05,不检,检,不检,退货拆解,38.820,17.180,0.098,2.966,6,0.333,0.152,0.316,0.293,0.272
M08,不检,检,检,厂内报废,38.898,17.102,0.000,0.000,6,0.321,1.000,1.000,0.593,0.796
M16,检,检,检,厂内报废,39.391,16.609,0.000,0.000,6,0.248,1.000,1.000,0.549,0.774
M11,检,不检,检,厂内拆解,39.857,16.143,0.000,0.000,6,0.179,1.000,1.000,0.507,0.754
M15,检,检,检,厂内拆解,40.338,15.662,0.000,0.000,6,0.108,1.000,1.000,0.465,0.732
M03,不检,不检,检,厂内拆解,40.434,15.566,0.000,0.000,6,0.093,1.000,1.000,0.456,0.728
M07,不检,检,检,厂内拆解,41.064,14.936,0.000,0.000,6,0.000,1.000,1.000,0.400,0.700
